year_built,sold_date,sold_price,baths_full,lot_sqft,sqft,baths,garage,stories,beds,type,tags,city,state,list_price,price_per_sqft,age_of_house
1975.0,2023-12-30,115000.0,2.0,17280.0,2240.0,2.0,,1.0,3.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'cul_de_sac', 'dishwasher', 'fireplace', 'single_story', 'big_yard']",Montgomery,Alabama,116000.0,51.339285714285715,49.0
1954.0,2023-12-29,140267.0,3.0,24394.0,2210.0,3.0,,1.0,3.0,single_family,"['carport', 'city_view', 'community_outdoor_space', 'hardwood_floors', 'single_story']",Montgomery,Alabama,160000.0,63.46923076923077,70.0
2008.0,2023-12-29,173000.0,2.0,5227.0,1249.0,2.0,,1.0,2.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'laundry_room', 'recreation_facilities', 'single_story', 'modern_kitchen', 'open_kitchen', 'master_bedroom', 'open_floor_plan', 'floor_plan']",Montgomery,Alabama,174999.0,138.51080864691752,16.0
1969.0,2023-12-29,215000.0,2.0,17424.0,1900.0,2.0,,1.0,4.0,single_family,"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'dishwasher', 'laundry_room', 'recreation_facilities', 'washer_dryer', 'single_story', 'front_porch', 'shopping']",Montgomery,Alabama,215000.0,113.15789473684211,55.0
1954.0,2024-01-16,161000.0,2.0,7841.0,1280.0,2.0,,1.0,3.0,single_family,"['hardwood_floors', 'recreation_facilities', 'single_story', 'groundscare']",Little Rock,Arkansas,159900.0,125.78125,70.0
2019.0,2024-01-12,359500.0,2.0,16988.0,2080.0,2.0,2.0,1.0,4.0,single_family,"['community_outdoor_space', 'community_security_features', 'cul_de_sac', 'fireplace', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'open_kitchen', 'big_yard', 'big_lot', 'pond', 'shopping']",Little Rock,Arkansas,359500.0,172.83653846153845,5.0
1998.0,2024-01-12,205000.0,2.0,10890.0,1830.0,2.0,,1.0,3.0,single_family,"['fireplace', 'single_story', 'garage_1_or_more', 'swimming_pool', 'floor_plan']",Little Rock,Arkansas,240000.0,112.02185792349727,26.0
1957.0,2024-01-12,162000.0,2.0,11761.0,1446.0,2.0,,1.0,3.0,single_family,"['carport', 'hardwood_floors', 'single_story', 'granite_kitchen']",Little Rock,Arkansas,165000.0,112.03319502074689,67.0
1979.0,2024-01-12,225000.0,2.0,10019.0,1633.0,3.0,2.0,2.0,3.0,single_family,"['community_outdoor_space', 'community_park', 'cul_de_sac', 'fireplace', 'hardwood_floors', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'updated_kitchen', 'big_yard', 'groundscare', 'shopping']",Little Rock,Arkansas,225000.0,137.78322106552358,45.0
1955.0,2024-01-12,115000.0,1.0,6970.0,754.0,1.0,,1.0,2.0,single_family,"['carport', 'hardwood_floors', 'single_story', 'modern_kitchen', 'rental_property', 'investment_opportunity']",Little Rock,Arkansas,115000.0,152.51989389920425,69.0
